model_name,sample_index,channel,center_y,center_x,mean_radius_px,top_fraction,top_energy_ratio,plane_1_energy_ratio,plane_2_energy_ratio,figure_path
deep_residual_cnn,11,4,77.11975898911497,79.96463223718911,25.483575976110806,0.1,0.77611464326494,0.528086578168559,0.47191338282945244,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample11.png
deep_residual_cnn,11,5,77.96882195447157,77.4833522700395,23.24460590531234,0.1,0.798784031963622,0.5236612613453424,0.4763387386546536,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample11.png
deep_residual_cnn,11,6,78.37926228528266,78.40233842176815,23.82143946389559,0.1,0.7807816089119438,0.5218853219701028,0.4781146241995409,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample11.png
deep_residual_cnn,12,1,78.1387059334096,79.7582828299571,23.917485879367057,0.1,0.8039433218535125,0.5254379211116179,0.47456212490396477,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample12.png
deep_residual_cnn,12,2,77.01784592776342,78.9122446561477,24.986170816371718,0.1,0.769140951746255,0.5326426632374789,0.46735728184515235,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample12.png
deep_residual_cnn,12,3,76.54028744151924,76.23576162252239,21.505732251264487,0.1,0.8232582916435036,0.515300969897077,0.4846989877626398,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample12.png
deep_residual_cnn,12,4,78.3732788775869,78.91642489130787,24.034542727665805,0.1,0.7977934467627881,0.5254352833584232,0.4745646685689324,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample12.png
deep_residual_cnn,12,5,76.8327385838299,78.35123661177983,24.9480232011656,0.1,0.7699467990967469,0.5324868811991873,0.4675130873068703,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample12.png
deep_residual_cnn,12,6,76.07817242131082,77.03970295238645,21.59486332617865,0.1,0.8195547262753056,0.5161022917919625,0.4838976561445682,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample12.png
deep_residual_cnn,13,1,80.43474777125846,82.32011303523957,24.566048532723016,0.1,0.7853131922292687,0.5271599854218019,0.4728400524004163,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample13.png
deep_residual_cnn,13,2,78.993611788896,77.18843535934161,24.87223050879696,0.1,0.7686758426120125,0.5276532722409016,0.47234672775909486,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample13.png
deep_residual_cnn,13,3,78.030688855374,80.33611232757589,24.053954529887992,0.1,0.7866456713190458,0.5249740472550352,0.47502598914942773,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample13.png
deep_residual_cnn,13,4,80.17099045906177,83.21795394762262,24.53798030334491,0.1,0.7908319725362516,0.5280834692599385,0.4719165673483559,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample13.png
deep_residual_cnn,13,5,78.82541161899071,77.88000355679169,24.668746485978772,0.1,0.7703422916961905,0.5288483309109792,0.4711516204604218,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample13.png
deep_residual_cnn,13,6,77.16419208490957,80.87192353983838,24.092209416267476,0.1,0.7773761971077336,0.5247602503909367,0.47523970225110973,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample13.png
deep_residual_cnn,14,1,80.32459441927361,83.74033345594225,23.80294793575834,0.1,0.8057624295777273,0.5242243576804906,0.47577561070244906,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample14.png
deep_residual_cnn,14,2,77.83939298930179,80.17998016066646,23.694021553628946,0.1,0.7871269521760346,0.5330773862972598,0.46692261370273364,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample14.png
deep_residual_cnn,14,3,79.51574707207656,81.32328364478293,22.980525090862614,0.1,0.8001661101785023,0.5199586062616978,0.4800414399490367,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample14.png
deep_residual_cnn,14,4,80.3042069941384,84.42695418215231,23.89036817303033,0.1,0.8150725116956963,0.5245585310683534,0.4754414689316446,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample14.png
deep_residual_cnn,14,5,77.78441157526204,79.94433673466796,23.543871056048015,0.1,0.7902796246827417,0.5316726557480339,0.46832734425196065,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample14.png
deep_residual_cnn,14,6,79.6668102972376,79.98591283541063,22.797065593954162,0.1,0.8041263332545328,0.5194209358043783,0.48057902896201377,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample14.png
deep_residual_cnn,15,1,78.4128135564482,79.45182600549072,23.007957005686812,0.1,0.8222441347792171,0.5243257179640919,0.4756742820359056,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample15.png
deep_residual_cnn,15,2,76.29429461662225,78.03512915285523,23.2994920655068,0.1,0.8045066906380473,0.5262962323217483,0.4737038000491759,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample15.png
deep_residual_cnn,15,3,75.08088340729375,79.47288820720478,22.988023034509197,0.1,0.8094003868190283,0.5220000818585759,0.4779999181414193,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample15.png
deep_residual_cnn,15,4,78.60450653073912,79.08361633185338,23.14960645736141,0.1,0.8135683317180947,0.525278498570498,0.4747215381983852,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample15.png
deep_residual_cnn,15,5,75.38884932575955,77.28684859802256,22.890598117170736,0.1,0.8122880414837045,0.5269176361576229,0.4730823947126379,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample15.png
deep_residual_cnn,15,6,74.9907108796419,78.70463364792374,23.145784403445774,0.1,0.8053767889402932,0.5214905112198787,0.4785094887801167,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample15.png
deep_residual_cnn,16,1,78.2652292611353,84.32493876126945,23.608471364654047,0.1,0.8401476372494676,0.5296622162727276,0.47033778372727053,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample16.png
deep_residual_cnn,16,2,78.6183367491025,76.9753929436932,22.798965206773897,0.1,0.8170888046825869,0.5327526867253821,0.46724726913442,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample16.png
deep_residual_cnn,16,3,78.63530619549982,77.01292748447665,21.99266316388577,0.1,0.8324792581873733,0.5192845082985553,0.4807154461924923,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample16.png
deep_residual_cnn,16,4,78.38934987799698,84.01617540457192,23.47496364710651,0.1,0.8358951767940213,0.5299192193763935,0.4700807302779415,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample16.png
deep_residual_cnn,16,5,78.56823565138947,76.72659265902283,22.856494894699885,0.1,0.8166627150077753,0.5323896235191033,0.46761037648089393,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample16.png
deep_residual_cnn,16,6,78.70567277614242,75.29032702690225,21.94728903364745,0.1,0.8424110462837894,0.5181316511612846,0.4818683488387129,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample16.png
