sample_index,state,main_lobe_energy,side_lobe_energy,total_energy,main_lobe_ratio,side_lobe_ratio,peak_intensity,max_side_lobe_intensity,strehl_ratio,synthesis_efficiency,peak_to_sidelobe_ratio,phase_rmse_rad
16,before,36006861.53125,80449452.09946921,116456313.63071921,0.30918771519272953,0.6908122848072704,4782630.5,2738862.5,0.37422281929314233,0.4550898523098936,1.7462105162270833,2.2150144577026367
16,baseline_compensated,52981056.59375,65537729.03707573,118518785.63082573,0.4470266575189248,0.5529733424810752,5482436.0,3180691.5,0.4289799633306855,0.669626293298181,1.7236616628805403,0.9862884879112244
16,physics_compensated,54323139.3125,64341132.933379725,118664272.24587972,0.4577885009899112,0.5422114990100888,5761431.0,2921458.25,0.4508102710386906,0.6865888443312256,1.9721079361650984,0.9638810157775879
16,ideal,79120334.91516113,42485201.56443155,121605536.47959268,0.6506310255737309,0.3493689744262691,12780168.0,945604.1875,1.0,1.0,13.515346239940376,0.0
17,before,35108110.63671875,81531474.29043806,116639584.9271568,0.3009965326835165,0.6990034673164836,4532997.5,4532997.5,0.3546899774713447,0.44373056148415385,1.0,2.2047994136810303
17,baseline_compensated,66364667.25,53698413.07254338,120063080.32254338,0.5527483308916836,0.4472516691083164,9004464.0,1441838.625,0.7045653859949259,0.8387814247899894,6.245126079903707,0.6391628384590149
17,physics_compensated,70161714.90625,50373778.765006825,120535493.67125683,0.5820834408958905,0.4179165591041095,10193176.0,1211248.25,0.7975776218278194,0.8867722183112945,8.415430940767097,0.5207239985466003
17,ideal,79120334.91516113,42485201.56443155,121605536.47959268,0.6506310255737309,0.3493689744262691,12780168.0,945604.1875,1.0,1.0,13.515346239940376,0.0
18,before,57502955.984375,61297320.188491,118800276.172866,0.48403049081049765,0.5159695091895024,6079635.5,2056003.125,0.47570857440997644,0.7267784703645916,2.957016663094809,1.1049381494522095
18,baseline_compensated,55813365.45996094,62831339.20923686,118644704.6691978,0.4704244122447636,0.5295755877552364,7248015.5,2159648.5,0.5671299078384572,0.7054237765778961,3.3561088760508944,1.130677580833435
18,physics_compensated,54226281.703125,64253788.416339114,118480070.11946411,0.457682727976514,0.542317272023486,6264125.5,2204517.75,0.4901442218912928,0.6853646633481842,2.841494698783895,1.3225442171096802
18,ideal,79120334.91516113,42485201.56443155,121605536.47959268,0.6506310255737309,0.3493689744262691,12780168.0,945604.1875,1.0,1.0,13.515346239940376,0.0
19,before,43008701.744140625,74133397.65738718,117142099.4015278,0.36714982883070724,0.6328501711692928,4272135.0,2733028.5,0.33427846957880364,0.5435859414682438,1.5631505489240234,1.6207301616668701
19,baseline_compensated,58078837.46875,60976107.823883,119054945.292633,0.487832213319608,0.512167786680392,6522469.5,2648117.0,0.5103586666466357,0.73405702252179,2.463059411649863,0.9017267227172852
19,physics_compensated,56485807.09375,62402475.62944746,118888282.72319746,0.4751166876996912,0.5248833123003088,6235343.0,2505175.5,0.487892099696968,0.7139227501288815,2.488984504279241,0.9139357805252075
19,ideal,79120334.91516113,42485201.56443155,121605536.47959268,0.6506310255737309,0.3493689744262691,12780168.0,945604.1875,1.0,1.0,13.515346239940376,0.0
20,before,64262325.04736328,55421892.24095085,119684217.28831413,0.5369323249410414,0.4630676750589587,8438567.0,1706331.5,0.660286077616507,0.8122099725218587,4.945444071096384,0.9220142960548401
20,baseline_compensated,72497316.86083984,48364181.976463675,120861498.83730352,0.5998379761815743,0.40016202381842564,11179536.0,926703.5,0.8747565759698933,0.9162918349445437,12.063767968935048,0.5504108667373657
20,physics_compensated,71675273.49511719,49109512.8829813,120784786.37809849,0.5934130915357883,0.40658690846421175,11083306.0,938836.125,0.8672269409916991,0.9059020487207605,11.805368056113094,0.5928871631622314
20,ideal,79120334.91516113,42485201.56443155,121605536.47959268,0.6506310255737309,0.3493689744262691,12780168.0,945604.1875,1.0,1.0,13.515346239940376,0.0
21,before,33269056.708496094,82988784.32592987,116257841.03442596,0.2861661322150697,0.7138338677849303,6208351.0,4537694.5,0.48578007738239437,0.4204868033504878,1.36817297859078,2.1776747703552246
21,baseline_compensated,73646519.77636719,47294226.07971576,120940745.85608295,0.6089471274139905,0.39105287258600946,11124384.0,834541.375,0.870441139740886,0.9308165828081568,13.329937056745688,0.42762064933776855
21,physics_compensated,73315600.36328125,47589173.744016066,120904774.10729732,0.606391276974862,0.393608723025138,11048315.0,848659.75,0.8644890270613032,0.9266341003472222,13.018544829067244,0.4271293580532074
21,ideal,79120334.91516113,42485201.56443155,121605536.47959268,0.6506310255737309,0.3493689744262691,12780168.0,945604.1875,1.0,1.0,13.515346239940376,0.0
22,before,50103671.046875,67801235.76947048,117904906.81634548,0.42494983796492,0.5750501620350801,5822614.0,2266628.5,0.4555976102974546,0.633259086941429,2.5688435489097574,1.5862189531326294
