sample_index,state,main_lobe_ratio,total_energy,main_lobe_energy,peak_intensity
48,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
49,before,0.4953133598049891,118478302.96416867,58683886.30517578,6960000.0
49,baseline_compensated,0.5799859439462243,120474059.58751479,69873261.17089844,10021231.0
49,physics_compensated,0.5884213511765631,120615107.75871103,70972504.6796875,10376969.0
49,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
50,before,0.3655897125139047,117077641.77529904,42802381.3984375,6252035.0
50,baseline_compensated,0.533062705019722,119764435.07560804,63841953.7265625,8381781.5
50,physics_compensated,0.5373876526816522,119832524.49761052,64396519.0546875,8541470.0
50,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
51,before,0.32915619279258995,116653266.14447919,38397144.9609375,5215679.0
51,baseline_compensated,0.5934180546822094,120676690.94741298,71611727.1875,10407520.0
51,physics_compensated,0.5926390655146984,120695661.95138521,71528964.31054688,10555892.0
51,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
52,before,0.4464909460857731,118088982.92610735,52725661.708984375,6688883.5
52,baseline_compensated,0.4720758719476719,118957429.33035575,56156932.17578125,6870195.0
52,physics_compensated,0.46395579936225867,118833802.39461437,55133631.78125,6571785.0
52,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
53,before,0.3996259189346035,117381557.75248614,46908712.8828125,3342280.75
53,baseline_compensated,0.6181100108178291,121078485.02873534,74839823.69091797,11488075.0
53,physics_compensated,0.6225126284170925,121151244.85393468,75418179.87002563,11672486.0
53,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
54,before,0.47830710130404425,118435700.81565061,56648636.748046875,6942244.5
54,baseline_compensated,0.5961484396421465,120784204.461997,72005315.0234375,10918573.0
54,physics_compensated,0.6017471017018765,120886318.34126335,72742991.69726562,11210711.0
54,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
55,before,0.44925690919838834,118316950.11067107,53154707.3125,5093539.0
55,baseline_compensated,0.5363861690339464,119899341.47843836,64312348.4453125,8994925.0
55,physics_compensated,0.5496461375480537,120098447.94605024,66011648.0390625,9458856.0
55,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
56,before,0.23863062009205474,115881950.64694113,27652981.740356445,3503307.25
56,baseline_compensated,0.5190604589219615,119429704.8459438,61991237.40625,7180803.5
56,physics_compensated,0.46375367135319784,118737030.31546965,55064733.734375,5843749.0
56,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
57,before,0.2630663710288193,115962790.70595708,30505910.525390625,3546152.75
57,baseline_compensated,0.5253103910296242,119666463.61536917,62862036.794921875,8274539.0
57,physics_compensated,0.5272756790970733,119695554.28756228,63112554.671875,8344534.0
57,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
58,before,0.30582767323163323,116482236.0073228,35623491.2109375,4313093.5
58,baseline_compensated,0.498366094110968,119070489.38513258,59340694.71875,6024252.5
58,physics_compensated,0.5128835840846442,119192473.67383286,61131863.09375,5972454.5
58,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
59,before,0.39288879340076327,117528142.25194517,46175490.0,3499904.25
59,baseline_compensated,0.4994083978020857,119358613.8670763,59608694.115234375,7671270.5
59,physics_compensated,0.5241192693834049,119738829.01855835,62757427.58203125,8611627.0
59,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
60,before,0.3640904009000183,117056741.5231644,42619235.94921875,3715966.5
60,baseline_compensated,0.40431020926545264,117839651.92143875,47643774.328125,3796346.75
60,physics_compensated,0.45395007215981076,118414376.9709089,53754214.970703125,4563554.5
60,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
61,before,0.5401764175347676,119720418.74659306,64670146.904296875,8331142.5
61,baseline_compensated,0.5908987890159398,120652474.37506057,71293401.0,10438984.0
61,physics_compensated,0.6036412449731068,120867469.05978984,72960589.5,11005495.0
61,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
62,before,0.37118475347153,116956686.22207364,43412538.7421875,3560340.5
62,baseline_compensated,0.4896831094361101,119212860.28549755,58376524.109375,7530929.5
62,physics_compensated,0.5430055383076398,120017028.08505103,65169910.94140625,9391989.0
62,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
63,before,0.3706418690822473,117097731.2099258,43401321.9609375,5131955.0
63,baseline_compensated,0.5940879197823301,120674703.38426256,71691383.50390625,10427354.0
63,physics_compensated,0.5770994748783321,120411648.71418005,69489499.2421875,9810583.0
63,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
64,before,0.3663720467855694,117369408.49923137,43000870.421875,3263315.75
64,baseline_compensated,0.49137355659164395,118942482.88038081,58445190.84277344,6710111.0
64,physics_compensated,0.6273876080286264,121254928.95206016,76073839.83691406,11997285.0
64,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
65,before,0.39685895728509746,117591768.80908272,46667346.75488281,3670928.75
65,baseline_compensated,0.5775195983469152,120525658.39860076,69605929.82885742,10395860.0
65,physics_compensated,0.5656199383313104,120366827.65395522,68081877.63476562,10119612.0
65,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
66,before,0.6014889749089729,120419774.53876892,72431166.74609375,10760883.0
66,baseline_compensated,0.6314974132822541,121304432.85310431,76603435.56640625,12060369.0
66,physics_compensated,0.6322946948180157,121313824.68722074,76706087.7578125,12066447.0
66,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
67,before,0.3261351236873783,116534010.99562283,38005834.08984375,5371016.5
67,baseline_compensated,0.4697778347600879,118808469.92793912,55813585.75390625,6001989.0
67,physics_compensated,0.42701535670490043,118221258.8079989,50482293.0,4749635.0
67,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
68,before,0.4258154630616726,117423854.46356791,50000892.962890625,4741831.5
68,baseline_compensated,0.5361564163352851,119682171.1889737,64168364.00390625,7720658.0
68,physics_compensated,0.523912122504562,119730937.57946503,62728489.63671875,8606558.0
68,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
69,before,0.2395715678771197,115782926.09814346,27738297.13873291,3845588.5
69,baseline_compensated,0.5749463406527752,120385152.12229404,69215002.68164062,9668967.0
69,physics_compensated,0.542166112842007,119957623.19507042,65036958.2734375,8944270.0
69,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
70,before,0.28447958757466535,116187720.6767948,33053034.859375,3266710.75
70,baseline_compensated,0.3737779339496297,117339651.9383229,43858972.671875,5326953.0
70,physics_compensated,0.3900298645913523,117552836.99054095,45849117.09375,4519333.0
70,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
71,before,0.5951337254220102,120462214.05747607,71691126.22460938,10629593.0
71,baseline_compensated,0.610892692735464,120993403.19153787,73913985.87890625,11379125.0
71,physics_compensated,0.6011611267004082,120837130.1327562,72642585.29785156,11006318.0
71,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
72,before,0.4216999684520767,117536767.18915322,49565251.015625,6021246.0
72,baseline_compensated,0.5437653970636195,119984588.69218078,65243467.51171875,8991332.0
72,physics_compensated,0.5320813642481135,119817147.67735434,63752471.396484375,8630457.0
72,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
73,before,0.5256278788141625,118789340.30214466,62438988.96875,5365263.0
73,baseline_compensated,0.4757735523328528,118913842.72537115,56576061.375,6425119.5
73,physics_compensated,0.4849792066075414,119013993.65655293,57719312.21875,6526085.0
73,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
74,before,0.49273970259411765,119055811.95538987,58663525.375,6242596.0
74,baseline_compensated,0.5010640109253991,119284697.432398,59769268.9375,7183006.0
74,physics_compensated,0.49285432342533836,119164384.42564866,58730682.0625,6890754.5
74,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
75,before,0.4747153006284479,118768842.16216469,56381386.61230469,6444784.0
