sample_index,state,strehl_ratio,peak_intensity,ideal_peak_intensity,phase_rmse_rad
30,physics_compensated,0.7946684268939188,10155996.0,12780168.0,0.5836338996887207
30,ideal,1.0,12780168.0,12780168.0,0.0
31,before,0.35243797264636895,4504216.5,12780168.0,1.9559156894683838
31,baseline_compensated,0.2745900523373402,3509307.0,12780168.0,1.5494390726089478
31,physics_compensated,0.3145665221302255,4020213.0,12780168.0,1.6229692697525024
31,ideal,1.0,12780168.0,12780168.0,0.0
32,before,0.37097180569144317,4741082.0,12780168.0,1.6099903583526611
32,baseline_compensated,0.5668268210558735,7244142.0,12780168.0,0.8297039866447449
32,physics_compensated,0.47628082823324386,6086949.0,12780168.0,0.9925061464309692
32,ideal,1.0,12780168.0,12780168.0,0.0
33,before,0.44362171138908346,5669560.0,12780168.0,1.7404614686965942
33,baseline_compensated,0.4481466519062973,5727389.5,12780168.0,0.9549735188484192
33,physics_compensated,0.41699400978140505,5329253.5,12780168.0,0.9889228940010071
33,ideal,1.0,12780168.0,12780168.0,0.0
34,before,0.23827589746864047,3045206.0,12780168.0,1.823204755783081
34,baseline_compensated,0.5292541146563957,6763956.5,12780168.0,1.030622959136963
34,physics_compensated,0.4085898166596871,5221846.5,12780168.0,1.1000361442565918
34,ideal,1.0,12780168.0,12780168.0,0.0
35,before,0.2237786115174699,2859928.25,12780168.0,1.7262481451034546
35,baseline_compensated,0.8782577036545999,11224281.0,12780168.0,0.46031275391578674
35,physics_compensated,0.8955910438736017,11445804.0,12780168.0,0.42615821957588196
35,ideal,1.0,12780168.0,12780168.0,0.0
36,before,0.32335382836907933,4132516.25,12780168.0,2.406717300415039
36,baseline_compensated,0.814760103310066,10412771.0,12780168.0,0.8708764314651489
36,physics_compensated,0.7896477573690737,10091831.0,12780168.0,0.8721334338188171
36,ideal,1.0,12780168.0,12780168.0,0.0
37,before,0.45185669703246467,5774804.5,12780168.0,2.2323787212371826
37,baseline_compensated,0.8867321618933335,11332586.0,12780168.0,0.5426639914512634
37,physics_compensated,0.8550289010285311,10927413.0,12780168.0,0.5951478481292725
37,ideal,1.0,12780168.0,12780168.0,0.0
38,before,0.5401260765899165,6902902.0,12780168.0,2.030674695968628
38,baseline_compensated,0.8457076620589025,10808286.0,12780168.0,1.1431961059570312
38,physics_compensated,0.854011621756459,10914412.0,12780168.0,1.1018450260162354
38,ideal,1.0,12780168.0,12780168.0,0.0
39,before,0.32772542583164793,4188386.0,12780168.0,2.24196195602417
39,baseline_compensated,0.5876281908031256,7509987.0,12780168.0,1.1294338703155518
39,physics_compensated,0.6383619917985429,8158373.5,12780168.0,0.9433228969573975
39,ideal,1.0,12780168.0,12780168.0,0.0
40,before,0.5103170005276926,6521937.0,12780168.0,1.9069966077804565
40,baseline_compensated,0.738994041392883,9444468.0,12780168.0,1.1588884592056274
40,physics_compensated,0.8447962499397504,10796638.0,12780168.0,1.0543712377548218
40,ideal,1.0,12780168.0,12780168.0,0.0
41,before,0.23511964005480993,3004868.5,12780168.0,2.182145833969116
41,baseline_compensated,0.5569666611581319,7118127.5,12780168.0,0.9775385856628418
41,physics_compensated,0.539159422630438,6890548.0,12780168.0,0.9969708323478699
41,ideal,1.0,12780168.0,12780168.0,0.0
42,before,0.27507441607966343,3515497.25,12780168.0,1.4947688579559326
42,baseline_compensated,0.9076068483606788,11599368.0,12780168.0,0.3455227315425873
42,physics_compensated,0.9491237517378488,12129961.0,12780168.0,0.2506721019744873
42,ideal,1.0,12780168.0,12780168.0,0.0
43,before,0.36726598586184467,4693721.0,12780168.0,1.427137851715088
43,baseline_compensated,0.7566603975784982,9670247.0,12780168.0,0.9837065935134888
43,physics_compensated,0.8436357800617331,10781807.0,12780168.0,0.8531892895698547
43,ideal,1.0,12780168.0,12780168.0,0.0
44,before,0.4352822670249718,5562980.5,12780168.0,1.3644920587539673
44,baseline_compensated,0.9014658492752208,11520885.0,12780168.0,0.3569881021976471
44,physics_compensated,0.638824114049205,8164279.5,12780168.0,0.8251667022705078
44,ideal,1.0,12780168.0,12780168.0,0.0
45,before,0.4277346354132434,5466520.5,12780168.0,1.6425821781158447
45,baseline_compensated,0.3288743543903335,4203069.5,12780168.0,1.2951618432998657
45,physics_compensated,0.41548327064245166,5309946.0,12780168.0,1.1187469959259033
45,ideal,1.0,12780168.0,12780168.0,0.0
46,before,0.3873528892577938,4950435.0,12780168.0,1.6736619472503662
46,baseline_compensated,0.25882431670694783,3307818.25,12780168.0,1.2592865228652954
46,physics_compensated,0.27446213930834085,3507672.25,12780168.0,1.2047054767608643
46,ideal,1.0,12780168.0,12780168.0,0.0
47,before,0.5137943022345246,6566377.5,12780168.0,1.8034045696258545
47,baseline_compensated,0.5244111423261416,6702062.5,12780168.0,1.8116239309310913
47,physics_compensated,0.6608074322653662,8445230.0,12780168.0,1.5794742107391357
47,ideal,1.0,12780168.0,12780168.0,0.0
48,before,0.3375966966944409,4314542.5,12780168.0,1.5981353521347046
48,baseline_compensated,0.427974851347807,5469590.5,12780168.0,1.0459747314453125
48,physics_compensated,0.3101790406824073,3964140.25,12780168.0,1.2917652130126953
48,ideal,1.0,12780168.0,12780168.0,0.0
49,before,0.5445937799878687,6960000.0,12780168.0,1.3493543863296509
